min_ma,region,formation,facies,collection_no,decimalLatitude,decimalLongitude,taxon,abundance,taph.corrected.abundance
555,Nilpena,Rawnsley Qzite,Rippled.Sand,1T-NAB (48),-31.012,138.228,Parvancorina,1,1
555,Nilpena,Rawnsley Qzite,Rippled.Sand,1T-T (279),-31.012,138.228,Parvancorina,2,2
555,Nilpena,Rawnsley Qzite,Rippled.Sand,B-BRW (22),-31.012,138.228,Parvancorina,1,1
555,Nilpena,Rawnsley Qzite,Rippled.Sand,B-S1 (24),-31.012,138.228,Parvancorina,2,2
555,Nilpena,Rawnsley Qzite,Rippled.Sand,BARB,-31.012,138.228,Parvancorina,5,5
555,Nilpena,Rawnsley Qzite,Rippled.Sand,Gully (14),-31.012,138.228,Parvancorina,1,1
555,Nilpena,Rawnsley Qzite,Rippled.Sand,MM-3 (363),-31.012,138.228,Parvancorina,24,24
555,Nilpena,Rawnsley Qzite,Sheet.Flow.Sand,Parv (137),-31.012,138.228,Parvancorina,78,78
555,Nilpena,Rawnsley Qzite,Rippled.Sand,Rugo (45),-31.012,138.228,Parvancorina,1,1
555,Nilpena,Rawnsley Qzite,Rippled.Sand,STC-B (104),-31.012,138.228,Parvancorina,1,1
555,Nilpena,Rawnsley Qzite,Rippled.Sand,STC-J (54),-31.012,138.228,Parvancorina,6,6
555,Nilpena,Rawnsley Qzite,Rippled.Sand,STC-X (41),-31.012,138.228,Parvancorina,3,3
555,Nilpena,Rawnsley Qzite,Sheet.Flow.Sand,Sub (334),-31.012,138.228,Parvancorina,10,10
565,Mistaken Point,Mistaken Pt. Fm.,Slope.Turbidites,d_surface,46.625556,-53.161389,Pectinate,175,175
565,Mistaken Point,Mistaken Pt. Fm.,Slope.Turbidites,sh_surface,46.625556,-53.161389,Pectinate,304,304
555,Nilpena,Rawnsley Qzite,Rippled.Sand,Phyllo (73),-31.012,138.228,Phyllozoon,31,31
555,Nilpena,Rawnsley Qzite,Rippled.Sand,SNG1 (121),-31.012,138.228,Phyllozoon,1,1
555,Nilpena,Rawnsley Qzite,Rippled.Sand,SNG2 (120),-31.012,138.228,Phyllozoon,8,8
555,Nilpena,Rawnsley Qzite,Rippled.Sand,BARB,-31.012,138.228,Plexus,1,1
555,Nilpena,Rawnsley Qzite,Rippled.Sand,Phyllo (73),-31.012,138.228,Plexus,31,31
555,Nilpena,Rawnsley Qzite,Rippled.Sand,SNG1 (121),-31.012,138.228,Plexus,113,113
555,Nilpena,Rawnsley Qzite,Rippled.Sand,SNG2 (120),-31.012,138.228,Plexus,110,110
555,Nilpena,Rawnsley Qzite,Sheet.Flow.Sand,Sub (334),-31.012,138.228,Plexus,22,22
555,Nilpena,Rawnsley Qzite,Sheet.Flow.Sand,Trib (69),-31.012,138.228,Plexus,6,6
555,Nilpena,Rawnsley Qzite,Rippled.Sand,1T-T (279),-31.012,138.228,Pseudorhizostomites,2,2
555,Nilpena,Rawnsley Qzite,Rippled.Sand,MM-3 (363),-31.012,138.228,Pseudorhizostomites,1,1
555,Nilpena,Rawnsley Qzite,Rippled.Sand,MM-4 (214),-31.012,138.228,Pseudorhizostomites,1,1
555,Nilpena,Rawnsley Qzite,Rippled.Sand,MM-5 (79),-31.012,138.228,Pseudorhizostomites,7,7
555,Nilpena,Rawnsley Qzite,Rippled.Sand,STC-B (104),-31.012,138.228,Pseudorhizostomites,1,1
555,Nilpena,Rawnsley Qzite,Rippled.Sand,STC-X (41),-31.012,138.228,Pseudorhizostomites,1,1
555,Nilpena,Rawnsley Qzite,Rippled.Sand,BARB,-31.012,138.228,Raisin,52,52
555,Nilpena,Rawnsley Qzite,Rippled.Sand,1T-NAB (48),-31.012,138.228,Rosette,5,5
555,Nilpena,Rawnsley Qzite,Rippled.Sand,BARB,-31.012,138.228,Rosette,8,8
555,Nilpena,Rawnsley Qzite,Rippled.Sand,1T-A (66),-31.012,138.228,Rugoconites,9,9
555,Nilpena,Rawnsley Qzite,Rippled.Sand,1T-FB (201),-31.012,138.228,Rugoconites,6,6
555,Nilpena,Rawnsley Qzite,Rippled.Sand,1T-NAB (48),-31.012,138.228,Rugoconites,8,8
555,Nilpena,Rawnsley Qzite,Rippled.Sand,1T-T (279),-31.012,138.228,Rugoconites,9,9
555,Nilpena,Rawnsley Qzite,Rippled.Sand,MM-3 (363),-31.012,138.228,Rugoconites,3,3
555,Nilpena,Rawnsley Qzite,Rippled.Sand,Rugo (45),-31.012,138.228,Rugoconites,36,36
555,Nilpena,Rawnsley Qzite,Rippled.Sand,STC-B (104),-31.012,138.228,Rugoconites,3,3
555,Nilpena,Rawnsley Qzite,Rippled.Sand,STC-F (64),-31.012,138.228,Rugoconites,2,2
555,Nilpena,Rawnsley Qzite,Rippled.Sand,STC-G (13),-31.012,138.228,Rugoconites,2,2
555,Nilpena,Rawnsley Qzite,Rippled.Sand,STC-I (93),-31.012,138.228,Rugoconites,7,7
555,Nilpena,Rawnsley Qzite,Rippled.Sand,STC-J (54),-31.012,138.228,Rugoconites,10,10
555,Nilpena,Rawnsley Qzite,Sheet.Flow.Sand,Trib (69),-31.012,138.228,Rugoconites,3,3
555,Nilpena,Rawnsley Qzite,Sheet.Flow.Sand,Parv (137),-31.012,138.228,Somatohelix,1,1
555,Nilpena,Rawnsley Qzite,Rippled.Sand,STC-I (93),-31.012,138.228,Somatohelix,15,15
555,Nilpena,Rawnsley Qzite,Rippled.Sand,STC-J (54),-31.012,138.228,Somatohelix,1,1
565,Mistaken Point,Mistaken Pt. Fm.,Slope.Turbidites,bc_surface,46.625556,-53.161389,Spindle,76,76
565,Mistaken Point,Mistaken Pt. Fm.,Slope.Turbidites,d_surface,46.625556,-53.161389,Spindle,1169,1169
565,Mistaken Point,Mistaken Pt. Fm.,Slope.Turbidites,e_surface,46.625556,-53.161389,Spindle,1497,1497
565,Mistaken Point,Mistaken Pt. Fm.,Slope.Turbidites,Imp_surface,46.625556,-53.161389,Spindle,4,4
565,Mistaken Point,Mistaken Pt. Fm.,Slope.Turbidites,e_surface,46.625556,-53.161389,Spoon.Frond,2,2
555,Nilpena,Rawnsley Qzite,Rippled.Sand,1T-A (66),-31.012,138.228,Sprigginamorph,2,2
555,Nilpena,Rawnsley Qzite,Rippled.Sand,1T-BOF (245),-31.012,138.228,Sprigginamorph,7,7
555,Nilpena,Rawnsley Qzite,Rippled.Sand,1T-FB (201),-31.012,138.228,Sprigginamorph,41,41
555,Nilpena,Rawnsley Qzite,Rippled.Sand,1T-NAB (48),-31.012,138.228,Sprigginamorph,1,1
555,Nilpena,Rawnsley Qzite,Rippled.Sand,1T-T (279),-31.012,138.228,Sprigginamorph,1,1
555,Nilpena,Rawnsley Qzite,Rippled.Sand,B-S1 (24),-31.012,138.228,Sprigginamorph,2,2
555,Nilpena,Rawnsley Qzite,Rippled.Sand,MM-2 (303),-31.012,138.228,Sprigginamorph,2,2
555,Nilpena,Rawnsley Qzite,Rippled.Sand,MM-3 (363),-31.012,138.228,Sprigginamorph,11,11
555,Nilpena,Rawnsley Qzite,Rippled.Sand,1T-A (66),-31.012,138.228,Stalk.Frond,2,2
555,Nilpena,Rawnsley Qzite,Rippled.Sand,1T-FB (201),-31.012,138.228,Stalk.Frond,2,2
555,Nilpena,Rawnsley Qzite,Rippled.Sand,1T-NAB (48),-31.012,138.228,Stalk.Frond,2,2
565,Mistaken Point,Mistaken Pt. Fm.,Slope.Turbidites,bc_surface,46.625556,-53.161389,Stalk.Frond,21,21
565,Mistaken Point,Mistaken Pt. Fm.,Slope.Turbidites,d_surface,46.625556,-53.161389,Stalk.Frond,7,7
565,Mistaken Point,Mistaken Pt. Fm.,Slope.Turbidites,e_surface,46.625556,-53.161389,Stalk.Frond,823,823
565,Mistaken Point,Mistaken Pt. Fm.,Slope.Turbidites,g_surface,46.625556,-53.161389,Stalk.Frond,63,63
565,Mistaken Point,Mistaken Pt. Fm.,Slope.Turbidites,Imp_surface,46.625556,-53.161389,Stalk.Frond,24,24
555,Nilpena,Rawnsley Qzite,Rippled.Sand,MM-3 (363),-31.012,138.228,Stalk.Frond,2,2
555,Nilpena,Rawnsley Qzite,Rippled.Sand,MM-4 (214),-31.012,138.228,Stalk.Frond,2,2
555,Nilpena,Rawnsley Qzite,Sheet.Flow.Sand,Parv (137),-31.012,138.228,Stalk.Frond,32,32
565,Mistaken Point,Mistaken Pt. Fm.,Slope.Turbidites,sh_surface,46.625556,-53.161389,Stalk.Frond,2,2
555,Nilpena,Rawnsley Qzite,Rippled.Sand,STC-B (104),-31.012,138.228,Stalk.Frond,1,1
555,Nilpena,Rawnsley Qzite,Rippled.Sand,STC-H (143),-31.012,138.228,Stalk.Frond,4,4
555,Nilpena,Rawnsley Qzite,Rippled.Sand,STC-X (41),-31.012,138.228,Stalk.Frond,3,3
